SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;regione
6598;Santa Massenza (Centrale);189;46.065821;10.980894;245;trentino
6601;Torbole;193;45.881852;10.882485;70;trentino
6602;Tenno;200;45.919256;10.831122;428;trentino
6615;Romeno;236;46.390724;11.118834;958;trentino
26;Gressoney-la-Trinité - Eselbode;1270;45.8306;7.82587;1642;valledaosta
44;Pontboset - Fournier;1470;45.6046;7.67989;1087;valledaosta
5675;Arabba;00003;46.49926;11.87637;1653;veneto
5677;Caprile;00009;46.43977;11.99027;1076;veneto
5679;Gares (Canale d'Agordo);00015;46.31246;11.88295;1392;veneto
5681;S. Andrea (Gosaldo);00021;46.22896;11.95784;1279;veneto
5720;Legnaro;00111;45.34669;11.95239;7;veneto
